cellname	file_path	stage	celltype
GasaE751002	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998596_GasaE751002.pairs.gz	E75	neural ectoderm
GasaE751003	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998597_GasaE751003.pairs.gz	E75	ExE mesoderm
GasaE751004	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998598_GasaE751004.pairs.gz	E75	early mesenchyme
GasaE751005	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998599_GasaE751005.pairs.gz	E75	ExE endoderm
GasaE751007	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998601_GasaE751007.pairs.gz	E75	mitosis
GasaE751009	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998603_GasaE751009.pairs.gz	E75	early mesoderm
GasaE751012	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998606_GasaE751012.pairs.gz	E75	epithelial cells
GasaE751014	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998608_GasaE751014.pairs.gz	E75	early mesenchyme
GasaE751015	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998609_GasaE751015.pairs.gz	E75	neural ectoderm
GasaE751018	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998612_GasaE751018.pairs.gz	E75	early mesenchyme
GasaE751019	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998613_GasaE751019.pairs.gz	E75	neural ectoderm
GasaE751021	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998615_GasaE751021.pairs.gz	E75	early mesoderm
GasaE751022	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998616_GasaE751022.pairs.gz	E75	early mesoderm
GasaE751024	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998618_GasaE751024.pairs.gz	E75	neural ectoderm
GasaE751027	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998621_GasaE751027.pairs.gz	E75	blood
GasaE751028	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998622_GasaE751028.pairs.gz	E75	blood
GasaE751029	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998623_GasaE751029.pairs.gz	E75	blood
GasaE751030	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998624_GasaE751030.pairs.gz	E75	mitosis
GasaE751035	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998628_GasaE751035.pairs.gz	E75	blood
GasaE751036	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998629_GasaE751036.pairs.gz	E75	neural ectoderm
GasaE751037	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998630_GasaE751037.pairs.gz	E75	neural ectoderm
GasaE751041	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998634_GasaE751041.pairs.gz	E75	neural ectoderm
GasaE751042	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998635_GasaE751042.pairs.gz	E75	blood
GasaE751044	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998637_GasaE751044.pairs.gz	E75	blood
GasaE751048	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998641_GasaE751048.pairs.gz	E75	endoderm
GasaE751049	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998642_GasaE751049.pairs.gz	E75	ExE ectoderm
GasaE751050	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998643_GasaE751050.pairs.gz	E75	blood
GasaE751051	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998644_GasaE751051.pairs.gz	E75	mitosis
GasaE751052	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998645_GasaE751052.pairs.gz	E75	blood
GasaE751053	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998646_GasaE751053.pairs.gz	E75	mitosis
GasaE751060	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998653_GasaE751060.pairs.gz	E75	ExE endoderm
GasaE751063	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998656_GasaE751063.pairs.gz	E75	ExE ectoderm
GasaE751065	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998658_GasaE751065.pairs.gz	E75	ExE endoderm
GasaE751066	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998659_GasaE751066.pairs.gz	E75	ExE endoderm
GasaE751068	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998661_GasaE751068.pairs.gz	E75	mitosis
GasaE751069	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998662_GasaE751069.pairs.gz	E75	ExE endoderm
GasaE751070	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998663_GasaE751070.pairs.gz	E75	neural ectoderm
GasaE751075	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998668_GasaE751075.pairs.gz	E75	epithelial cells
GasaE751077	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998670_GasaE751077.pairs.gz	E75	early mesenchyme
GasaE751078	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998671_GasaE751078.pairs.gz	E75	blood
GasaE751079	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998672_GasaE751079.pairs.gz	E75	neural ectoderm
GasaE751080	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998673_GasaE751080.pairs.gz	E75	neural ectoderm
GasaE751082	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998675_GasaE751082.pairs.gz	E75	endoderm
GasaE751083	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998676_GasaE751083.pairs.gz	E75	neural ectoderm
GasaE751087	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998680_GasaE751087.pairs.gz	E75	early mesoderm
GasaE751090	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998683_GasaE751090.pairs.gz	E75	early mesoderm
GasaE751092	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998684_GasaE751092.pairs.gz	E75	epithelial cells
GasaE751093	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998685_GasaE751093.pairs.gz	E75	early mesenchyme
GasaE751098	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998690_GasaE751098.pairs.gz	E75	ExE endoderm
GasaE751099	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998691_GasaE751099.pairs.gz	E75	neural ectoderm
GasaE751100	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998692_GasaE751100.pairs.gz	E75	blood
GasaE751104	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998696_GasaE751104.pairs.gz	E75	neural ectoderm
GasaE751106	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998698_GasaE751106.pairs.gz	E75	ExE endoderm
GasaE751110	/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998702_GasaE751110.pairs.gz	E75	early mesenchyme
