filename,chromosome_count,cellname,stage,celltype,filepath
GSM6998596,21,GasaE751002,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998596_GasaE751002.pairs.gz
GSM6998597,21,GasaE751003,E75,ExE mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998597_GasaE751003.pairs.gz
GSM6998598,21,GasaE751004,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998598_GasaE751004.pairs.gz
GSM6998599,21,GasaE751005,E75,ExE endoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998599_GasaE751005.pairs.gz
GSM6998601,21,GasaE751007,E75,mitosis,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998601_GasaE751007.pairs.gz
GSM6998603,21,GasaE751009,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998603_GasaE751009.pairs.gz
GSM6998606,21,GasaE751012,E75,epithelial cells,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998606_GasaE751012.pairs.gz
GSM6998608,21,GasaE751014,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998608_GasaE751014.pairs.gz
GSM6998609,21,GasaE751015,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998609_GasaE751015.pairs.gz
GSM6998612,21,GasaE751018,E75,early mesenchyme,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998612_GasaE751018.pairs.gz
GSM6998613,21,GasaE751019,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998613_GasaE751019.pairs.gz
GSM6998615,21,GasaE751021,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998615_GasaE751021.pairs.gz
GSM6998616,21,GasaE751022,E75,early mesoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998616_GasaE751022.pairs.gz
GSM6998618,21,GasaE751024,E75,neural ectoderm,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998618_GasaE751024.pairs.gz
GSM6998621,21,GasaE751027,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998621_GasaE751027.pairs.gz
GSM6998622,21,GasaE751028,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998622_GasaE751028.pairs.gz
GSM6998623,21,GasaE751029,E75,blood,/Volumes/SumSung500/CSU/0_HiRES/data/hires/GSE223917_RAW/GSM6998623_GasaE751029.pairs.gz
